SynCom	Length	Rep
NB	8.033057851	Rep1
NB	4.628603306	Rep1
NB	10.62314876	Rep1
NB	4.30577686	Rep1
NB	10.71177686	Rep1
NB	8.324231405	Rep1
NB	11.40765289	Rep1
NB	7.012099174	Rep1
NB	11.70626446	Rep1
NB	11.35634711	Rep1
NB	5.906033058	Rep1
NB	11.27758678	Rep1
NB	3.709743802	Rep1
NB	7.239842975	Rep1
NB	6.626471074	Rep1
CL28	4.890016529	Rep1
CL28	4.611834711	Rep1
CL28	1.347082645	Rep1
CL28	4.116	Rep1
CL28	3.171231405	Rep1
CL28	7.87477686	Rep1
CL28	6.765826446	Rep1
CL28	4.01438843	Rep1
CL28	2.681818182	Rep1
CL28	6.750363636	Rep1
CL28	6.148958678	Rep1
CL28	3.405644628	Rep1
CL28	3.844173554	Rep1
CL28	5.235107438	Rep1
CL28+CL14	7.443966942	Rep1
CL28+CL14	8.286330579	Rep1
CL28+CL14	9.674	Rep1
CL28+CL14	8.677826446	Rep1
CL28+CL14	6.347884298	Rep1
CL28+CL14	10.91089256	Rep1
CL28+CL14	8.033214876	Rep1
CL28+CL14	5.971041322	Rep1
CL28+CL14	8.284702479	Rep1
CL28+CL14	3.106603306	Rep1
CL28+CL14	6.646289256	Rep1
CL28+CL14	3.932702479	Rep1
CL28+CL14	8.385446281	Rep1
CL28+CL14	6.396884298	Rep1
CL28+CL14	9.033504132	Rep1
NB	11.1	Rep2
NB	11.5	Rep2
NB	15	Rep2
NB	10.8	Rep2
NB	11.6	Rep2
NB	13.5	Rep2
NB	12.9	Rep2
NB	15	Rep2
NB	13.2	Rep2
CL28	10.7	Rep2
CL28	3.9	Rep2
CL28	8.7	Rep2
CL28	9.7	Rep2
CL28	10.4	Rep2
CL28	7.1	Rep2
CL28	11	Rep2
CL28	6	Rep2
CL28	9	Rep2
CL28	8.2	Rep2
CL28	6.9	Rep2
CL28+CL14	12.5	Rep2
CL28+CL14	8	Rep2
CL28+CL14	11.5	Rep2
CL28+CL14	9.1	Rep2
CL28+CL14	12.6	Rep2
CL28+CL14	15	Rep2
CL28+CL14	14	Rep2
CL28+CL14	11	Rep2
